Label,Zero Crossing Rate,Spectral Centroid,Spectral Rolloff,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,Chroma 1,Chroma 2,Chroma 3,Chroma 4,Chroma 5,Chroma 6,Chroma 7,Chroma 8,Chroma 9,Chroma 10,Chroma 11,Chroma 12,Pitch,Intensity
neutral,0.057810685952012386,4968.033484446734,9552.051083591332,-650.82495,75.053345,-1.5596936,10.67924,3.4528768,9.057185,-3.5068495,-5.2496476,-8.949531,-2.107145,-1.3579396,-7.44806,-1.8247752,0.47828627,0.47045973,0.46299362,0.50147575,0.5785961,0.5202435,0.4428175,0.45714265,0.47934234,0.4569877,0.45704046,0.47576547,195.0296277044225,0.003757135
disgusted,0.0573143115942029,3816.7004135601364,7287.771739130435,-666.80176,72.579124,-11.815956,6.9202304,-2.7584267,0.7492378,-5.3767095,1.8880272,-13.400004,-4.9366503,-2.646663,-0.7979515,-4.5095673,0.34439126,0.28403077,0.27516693,0.3127588,0.35926154,0.3862509,0.4292511,0.4045335,0.40870655,0.36541563,0.36261815,0.36293232,228.29807943772758,0.0030920934
sad,0.06021605723002959,5154.836068715261,9764.977810650887,-691.92377,94.67122,0.47669703,12.343626,0.8991419,14.521015,-2.223003,-1.3594073,-9.2235,-0.8726237,-2.7871094,-6.337168,0.398421,0.5016085,0.55222964,0.5281575,0.5319607,0.52967876,0.5062372,0.47308114,0.48101848,0.523384,0.52967525,0.5299371,0.50256854,184.27259993141453,0.0022698427
sad,0.06565374060522151,6984.396122793735,13110.759493670887,-714.926,58.92017,-2.2613804,10.7485695,0.06399686,4.0580535,-10.326863,3.746149,-9.372711,-5.7699003,-7.4116015,-5.204499,-3.6649156,0.52355784,0.4987346,0.4747745,0.4925172,0.5155134,0.55772847,0.57738304,0.6169482,0.5711133,0.53419983,0.57830596,0.5545254,254.5488458622948,0.0023256068
disgusted,0.07578716856060606,5563.61730616758,10598.398760330578,-681.2215,78.88362,0.12867522,11.79581,0.9876597,13.565272,-6.526605,3.7329946,-9.42451,-3.3148096,-10.4992075,-4.4647684,2.716594,0.4792831,0.48467568,0.48510045,0.4753303,0.52231354,0.54802823,0.523784,0.48594296,0.48331463,0.51433367,0.5621323,0.52695215,188.6217018990623,0.0024997578
disgusted,0.07578716856060606,5563.61730616758,10598.398760330578,-681.2215,78.88362,0.12867522,11.79581,0.9876597,13.565272,-6.526605,3.7329946,-9.42451,-3.3148096,-10.4992075,-4.4647684,2.716594,0.4792831,0.48467568,0.48510045,0.4753303,0.52231354,0.54802823,0.523784,0.48594296,0.48331463,0.51433367,0.5621323,0.52695215,188.6217018990623,0.0024997578
disgusted,0.0573143115942029,3816.7004135601364,7287.771739130435,-666.80176,72.579124,-11.815956,6.9202304,-2.7584267,0.7492378,-5.3767095,1.8880272,-13.400004,-4.9366503,-2.646663,-0.7979515,-4.5095673,0.34439126,0.28403077,0.27516693,0.3127588,0.35926154,0.3862509,0.4292511,0.4045335,0.40870655,0.36541563,0.36261815,0.36293232,228.29807943772758,0.0030920934
sad,0.05121663411458333,3969.1376203170685,7756.184895833333,-706.5462,70.95973,-4.136592,6.6439753,-0.84507877,3.2053216,-10.46276,2.9966118,-11.937459,-4.443748,-5.141396,-3.6179626,-4.571275,0.31001037,0.26922616,0.29683352,0.28400367,0.25697163,0.28290766,0.32754847,0.42742428,0.5284328,0.4428038,0.42402866,0.36449832,245.79248628322551,0.002700167
neutral,0.049154170866935486,5005.760328606421,9251.310483870968,-718.60034,60.42959,-7.504327,8.469443,0.09844026,2.2735035,-9.096851,1.3273765,-10.595312,-6.9613605,-5.2387695,-2.8739557,-2.8553786,0.36182827,0.31386423,0.34543216,0.39238957,0.46747643,0.5156604,0.51200014,0.4330525,0.39740142,0.36176443,0.39912477,0.41479757,244.46504692773047,0.0023342986
surprised,0.06565455386513158,6422.180932291875,12114.566200657895,-632.1482,55.13037,-11.448426,2.8375678,-4.1562977,-0.5629724,-12.387322,-0.9419134,-9.617701,-9.696001,-5.886963,-4.1076927,-5.8245463,0.5092289,0.4869956,0.49354157,0.59663206,0.6010664,0.56467277,0.5632106,0.5676091,0.5792038,0.5189741,0.4495986,0.47912717,242.8862706765479,0.005946024
surprised,0.05934544613486842,4460.289476121431,8809.5703125,-595.92633,78.55345,-12.423607,3.734453,-5.9745574,3.3046632,-7.769447,-2.8236907,-16.835426,-5.3281093,-5.7895026,-8.341511,-2.3362746,0.3966656,0.41078827,0.41616207,0.4703863,0.49041146,0.43207654,0.42173997,0.40307975,0.44539413,0.4738028,0.45241776,0.4407645,216.45214382980788,0.006414417
happy,0.07810155146539548,4860.027046357948,9907.110699152543,-581.51776,86.497955,-7.0137944,6.617818,-1.4996209,11.158794,-4.0651083,-3.0187302,-13.006205,-5.2034173,-6.9504075,-7.8739395,3.0678222,0.3849497,0.37237817,0.43673494,0.54150176,0.5843158,0.5022438,0.4872852,0.45911226,0.5102099,0.51150614,0.44805115,0.43357167,180.68928346527133,0.007494982
angry,0.06914911684782608,5803.848624836202,11044.633152173914,-564.9818,62.465103,-14.487927,3.4400377,-1.1810225,0.26285583,-10.752198,2.646129,-10.4493885,-5.0596604,-0.90070343,-1.5124356,-1.1195513,0.53963554,0.45624796,0.43566564,0.46151105,0.54131764,0.56398165,0.58002424,0.5537784,0.5440794,0.4785964,0.49387226,0.5094941,217.7870204872104,0.00694725
surprised,0.07181629496082621,6352.799828005905,12331.797542735043,-658.2851,69.19514,1.9624766,14.425354,2.3983486,9.600538,-6.348393,0.53475,-2.5102577,-1.2904505,-2.283602,-2.462925,-0.08590042,0.56366825,0.59609795,0.6201611,0.67254806,0.68123555,0.619899,0.5852398,0.5837937,0.57141054,0.53970355,0.53674537,0.54692405,210.66251587334258,0.0035612874
angry,0.06292327339127218,4781.430799536823,8877.611871301775,-561.96045,47.473927,-13.251722,4.4711328,-4.5030093,-4.6049547,-10.232055,0.18582316,-8.084241,-9.680566,-3.961814,-3.3038936,-4.0507374,0.38507017,0.35146654,0.32237244,0.36377692,0.41207138,0.42325568,0.4170227,0.41214588,0.415435,0.3812032,0.37093303,0.38496634,249.19313946626863,0.009499144
happy,0.048319065824468085,3927.153336484184,7510.400835866261,-676.85077,66.87937,-13.539673,3.807712,-0.41860303,-0.7348262,-11.490604,-0.45724094,-10.418559,-8.775729,-5.1794977,-3.077179,-6.219844,0.3307874,0.33090886,0.30511677,0.31959748,0.34488055,0.35955685,0.38656574,0.421633,0.4469048,0.41090232,0.40337366,0.3482241,248.35026430375765,0.0042314455
angry,0.08022474028150134,5484.836588847206,10412.156501340483,-647.54266,77.7722,-11.207561,12.85075,3.8746831,7.23199,-13.245911,-0.644045,-7.0401073,-6.635783,-2.0067537,0.011814639,-0.017089762,0.43895322,0.42515036,0.4453574,0.46096802,0.5192162,0.5983921,0.6017159,0.52016723,0.51719654,0.55359805,0.5790625,0.5051565,212.90101538202464,0.0039775637
disgusted,0.09326429543205805,5059.046804356841,10263.646108179419,-573.582,84.51252,-9.768131,10.765003,0.062496617,11.318466,-10.694776,0.8141932,-9.129472,-3.4155087,-3.7065914,-1.5936701,3.0000844,0.43738565,0.48529607,0.48595604,0.4764812,0.5136335,0.51857126,0.5885347,0.58373153,0.57751346,0.53443414,0.5038345,0.457511,159.8103845236204,0.004934747
happy,0.07537733450443787,5894.315620268328,11441.383136094675,-615.3698,64.712395,-17.525738,1.0721176,2.1432564,-0.7451553,-10.137992,1.4398389,-9.424702,-8.146935,-1.7783347,-3.5647104,-4.9699297,0.50857663,0.44322982,0.42466474,0.43246934,0.4830611,0.55216354,0.6202996,0.5712474,0.5570207,0.5402914,0.55280185,0.5202947,226.4912630647495,0.006350114
neutral,0.06171123798076923,6368.380140144428,12467.22448224852,-745.62787,79.43581,11.096164,14.474286,7.8887277,15.525535,-2.4213848,4.9751854,-0.9164881,-1.1385553,1.2851641,1.0312934,2.5144024,0.5457135,0.57096237,0.631417,0.59210634,0.59117395,0.6103198,0.602584,0.5945829,0.71757054,0.63473386,0.58588994,0.5561699,202.16529475760728,0.0013985182
sad,0.050598343342833876,6563.298949893989,13094.538884364822,-807.9156,78.80208,18.301233,20.22539,12.266489,15.055645,0.37127468,7.652366,-1.148217,-2.4365406,3.881323,3.410954,1.1622702,0.6259196,0.6533216,0.65058976,0.68501025,0.7152031,0.7372151,0.7733535,0.77875286,0.73477596,0.6837483,0.6677082,0.63863534,187.75764359779035,0.000703098
disgusted,0.06460921490778689,3992.2949074353137,7911.3089139344265,-628.2414,59.146286,-3.4290037,7.1251993,-4.9693146,2.9737241,-8.271731,1.3791871,-6.1414022,-5.632515,-8.136983,-2.4559796,-3.0034993,0.33176318,0.2934506,0.29055762,0.31986704,0.35994667,0.359336,0.34365857,0.35016546,0.3947225,0.36711004,0.33821094,0.35189164,229.53138080883608,0.0049165944
disgusted,0.07007615747850122,6573.375334019835,13045.243396805898,-758.5461,69.87071,5.2494764,22.440687,6.83653,10.896713,-3.1182966,4.9660892,0.8583694,0.23329872,3.3944943,2.122541,5.839977,0.5637351,0.5356706,0.56594306,0.61831874,0.66040444,0.693863,0.72076595,0.6687552,0.6488075,0.6182683,0.59778106,0.5955073,180.99739797101503,0.0009087793
happy,0.06494140625,6025.997369997226,11867.603058510638,-714.2118,83.85258,4.0629964,17.653406,6.3173575,14.02469,-1.3677076,3.224947,0.13680884,-1.5748107,-7.580184,-2.1825895,4.717467,0.5323039,0.5686655,0.5684508,0.5994269,0.638428,0.64086527,0.64348185,0.5679538,0.5248528,0.5413203,0.5693374,0.5346403,194.43896296106897,0.0022507808
disgusted,0.07007615747850122,6573.375334019835,13045.243396805898,-758.5461,69.87071,5.2494764,22.440687,6.83653,10.896713,-3.1182966,4.9660892,0.8583694,0.23329872,3.3944943,2.122541,5.839977,0.5637351,0.5356706,0.56594306,0.61831874,0.66040444,0.693863,0.72076595,0.6687552,0.6488075,0.6182683,0.59778106,0.5955073,180.99739797101503,0.0009087793
